label,depth,first_train_bt,final_train_bt,best_train_bt,best_train_layer,final_test_bt,improving_step_fraction
BP-BT e2e residual,6,0.6090995669364929,0.14818085730075836,0.14818085730075836,6,nan,1.0
BP-BT greedy residual,6,0.5188376903533936,0.18569853901863098,0.18569853901863098,6,nan,1.0
CF balanced identity,6,0.5712585539284867,0.5435180965679812,0.5435180965679812,6,0.5768177807459356,1.0
CF old-span adaptive,6,0.48740430330550943,0.37632040884802553,0.37632040884802553,6,0.3910390533538584,1.0
BP-BT e2e residual,12,0.6194894909858704,0.07949041575193405,0.07949041575193405,12,nan,0.9090909090909091
BP-BT greedy residual,12,0.5188376903533936,0.06947872042655945,0.06947872042655945,12,nan,1.0
CF balanced identity,12,0.5712585542744216,0.503664598172993,0.503664598172993,12,0.5504586748904818,1.0
CF gain-floor progress,12,0.5624270978367132,0.37269680831116647,0.37269680831116647,12,0.39947707556749273,1.0
CF identity + diag metric,12,0.5711791575467042,0.4612796657395563,0.4612796657395563,12,0.49642029517519476,1.0
CF old-span adaptive,12,0.48740430330550943,0.34181244558037804,0.34181244558037804,12,0.3603054724404035,1.0
BP-BT e2e residual,24,0.5936378240585327,0.11982841789722443,0.11982841789722443,24,nan,0.9565217391304348
BP-BT greedy residual,24,0.5188376903533936,0.029666172340512276,0.029666172340512276,24,nan,1.0
CF balanced identity,24,0.5700733422811752,0.45273110806271377,0.45273110806271377,24,0.4934491251832781,1.0
CF gain-floor progress,24,0.5568767728181747,0.33938717892509035,0.33938717892509035,24,0.37863227087014295,1.0
CF old-span adaptive,24,0.5037053661971319,0.3172678984353727,0.3172678984353727,24,0.3334435860292417,1.0
